#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Level,S1,S2,S3,S4,S5,PWM,RPM
1,1,1,1,1,1,1,0.21
1,1,1,1,1,1,2,0.43
1,1,1,1,1,1,3,0.64
1,1,1,1,1,1,4,0.85
1,1,1,1,1,1,5,1.06
1,1,1,1,1,1,6,1.28
1,1,1,1,1,1,7,1.49
2,0,1,1,1,1,8,1.70
2,0,1,1,1,1,9,1.92
2,0,1,1,1,1,10,2.13
2,0,1,1,1,1,11,2.34
3,0,0,1,1,1,12,2.56
3,0,0,1,1,1,13,2.77
2,0,1,1,1,1,14,2.98
3,0,0,1,1,1,15,3.19
2,0,1,1,1,1,16,3.41
2,0,1,1,1,1,17,3.62
2,0,1,1,1,1,18,3.83
2,0,1,1,1,1,19,4.05
2,0,1,1,1,1,20,4.26
1,1,1,1,1,1,21,4.47
3,0,0,1,1,1,22,4.69
3,1,0,1,1,1,23,4.90
3,0,0,1,1,1,24,5.11
3,0,0,1,1,1,25,5.32
3,1,0,1,1,1,26,5.54
3,1,0,1,1,1,27,5.75
3,0,0,1,1,1,28,5.96
3,1,0,1,1,1,29,6.18
3,0,0,1,1,1,30,6.39
3,0,0,1,1,1,31,6.60
3,1,0,1,1,1,32,6.82
3,0,0,1,1,1,33,7.03
3,0,0,1,1,1,34,7.24
3,1,0,1,1,1,35,7.45
3,0,0,1,1,1,36,7.67
3,1,0,1,1,1,37,7.88
3,1,0,1,1,1,38,8.09
3,0,0,1,1,1,39,8.31
3,0,0,1,1,1,40,8.52
3,1,0,1,1,1,41,8.73
3,0,0,1,1,1,42,8.95
3,1,0,1,1,1,43,9.16
3,1,0,1,1,1,44,9.37
3,0,0,1,1,1,45,9.58
3,0,0,1,1,1,46,9.80
3,1,0,1,1,1,47,10.01
3,0,0,1,1,1,48,10.22
3,0,0,1,1,1,49,10.44
3,1,0,1,1,1,50,10.65
3,0,0,1,1,1,51,10.86
3,1,0,1,1,1,52,11.07
3,1,0,1,1,1,53,11.29
3,0,0,1,1,1,54,11.50
3,1,0,1,1,1,55,11.71
3,1,0,1,1,1,56,11.93
3,0,0,1,1,1,57,12.14
3,0,0,1,1,1,58,12.35
3,1,0,1,1,1,59,12.57
3,0,0,1,1,1,60,12.78
3,1,0,1,1,1,61,12.99
3,1,0,1,1,1,62,13.20
2,0,1,1,1,1,63,13.42
3,1,0,1,1,1,64,13.63
3,1,0,1,1,1,65,13.84
3,0,0,1,1,1,66,14.06
1,1,1,1,1,1,67,14.27
1,1,1,1,1,1,68,14.48
3,0,0,1,1,1,69,14.70
1,1,1,1,1,1,70,14.91
3,1,0,1,1,1,71,15.12
3,0,0,1,1,1,72,15.33
3,1,0,1,1,1,73,15.55
3,1,0,1,1,1,74,15.76
3,0,0,1,1,1,75,15.97
3,1,0,1,1,1,76,16.19
3,1,0,1,1,1,77,16.40
3,0,0,1,1,1,78,16.61
3,1,0,1,1,1,79,16.83
3,0,0,1,1,1,80,17.04
3,0,0,1,1,1,81,17.25
3,1,0,1,1,1,82,17.46
3,0,0,1,1,1,83,17.68
3,0,0,1,1,1,84,17.89
3,1,0,1,1,1,85,18.10
3,1,0,1,1,1,86,18.32
3,0,0,1,1,1,87,18.53
3,1,0,1,1,1,88,18.74
3,1,0,1,1,1,89,18.96
3,1,0,1,1,1,90,19.17
3,1,0,1,1,1,91,19.38
3,0,0,1,1,1,92,19.59
3,0,0,1,1,1,93,19.81
3,1,0,1,1,1,94,20.02
3,0,0,1,1,1,95,20.23
3,0,0,1,1,1,96,20.45
3,1,0,1,1,1,97,20.66
3,1,0,1,1,1,98,20.87
3,1,0,1,1,1,99,21.09
3,1,0,1,1,1,100,21.30
3,0,0,1,1,1,101,21.51
3,0,0,1,1,1,102,21.72
3,1,0,1,1,1,103,21.94
3,0,0,1,1,1,104,22.15
3,0,0,1,1,1,105,22.36
3,0,0,1,1,1,106,22.58
3,0,0,1,1,1,107,22.79
3,1,0,1,1,1,108,23.00
3,1,0,1,1,1,109,23.21
3,0,0,1,1,1,110,23.43
3,0,0,1,1,1,111,23.64
3,0,0,1,1,1,112,23.85
3,0,0,1,1,1,113,24.07
3,1,0,1,1,1,114,24.28
3,0,0,1,1,1,115,24.49
3,0,0,1,1,1,116,24.71
3,1,0,1,1,1,117,24.92
3,1,0,1,1,1,118,25.13
3,1,0,1,1,1,119,25.34
3,1,0,1,1,1,120,25.56
3,0,0,1,1,1,121,25.77
3,0,0,1,1,1,122,25.98
3,1,0,1,1,1,123,26.20
5,0,0,1,0,1,124,26.41
5,0,0,1,0,1,125,26.62
5,1,0,1,0,1,126,26.84
3,1,0,1,1,1,127,27.05
3,0,0,1,1,1,128,27.26
3,0,0,1,1,1,129,27.47
4,0,0,0,1,1,130,27.69
4,0,0,0,1,1,131,27.90
4,0,0,0,1,1,132,28.11
4,0,0,0,1,1,133,28.33
4,0,0,0,1,1,134,28.54
4,0,0,0,1,1,135,28.75
4,0,0,0,1,1,136,28.97
3,0,0,1,1,1,137,29.18
3,0,0,1,1,1,138,29.39
3,0,0,1,1,1,139,29.60
3,0,0,1,1,1,140,29.82
3,0,0,1,1,1,141,30.03
3,0,0,1,1,1,142,30.24
3,0,0,1,1,1,143,30.46
3,0,0,1,1,1,144,30.67
3,0,0,1,1,1,145,30.88
3,0,0,1,1,1,146,31.10
3,0,0,1,1,1,147,31.31
5,0,0,1,0,1,148,31.52
3,0,0,1,1,1,149,31.73
3,0,0,1,1,1,150,31.95
3,0,0,1,1,1,151,32.16
3,0,0,1,1,1,152,32.37
3,0,0,1,1,1,153,32.59
4,0,0,0,1,1,154,32.80
4,0,0,0,1,1,155,33.01
4,0,0,0,1,1,156,33.22
4,0,0,0,1,1,157,33.44
4,0,0,0,1,1,158,33.65
4,0,0,0,1,1,159,33.86
3,0,0,1,1,1,160,34.08
3,0,0,1,1,1,161,34.29
3,0,0,1,1,1,162,34.50
3,0,0,1,1,1,163,34.72
5,0,0,1,0,1,164,34.93
5,0,0,1,0,1,165,35.14
5,0,0,1,0,1,167,35.57
5,0,0,1,0,1,168,35.78
5,0,0,1,0,1,169,35.99
5,0,0,1,0,1,170,36.21
5,0,0,1,0,1,171,36.42
5,0,0,1,0,1,172,36.63
5,0,0,1,0,1,173,36.85
5,0,0,1,0,1,174,37.06
5,0,0,1,0,1,175,37.27
5,0,0,1,0,1,176,37.48
5,0,0,1,0,1,177,37.70
5,0,0,1,0,1,178,37.91
5,0,0,1,0,1,179,38.12
5,0,0,1,0,1,180,38.34
5,0,0,1,0,1,181,38.55
5,0,0,1,0,1,182,38.76
5,0,0,1,0,1,183,38.98
5,0,0,0,0,1,184,39.19
5,0,0,0,0,1,185,39.40
5,0,0,0,0,1,186,39.61
5,0,0,0,0,1,187,39.83
5,0,0,0,0,1,188,40.04
5,0,0,0,0,1,189,40.25
5,0,0,0,0,1,190,40.47
5,0,0,0,0,1,191,40.68
5,0,0,0,0,1,192,40.89
5,0,0,0,0,1,193,41.11
5,0,0,0,0,1,194,41.32
5,0,0,0,0,1,195,41.53
5,0,0,0,0,1,196,41.74
5,0,0,0,0,1,197,41.96
5,0,0,0,0,1,198,42.17
5,0,0,0,0,1,199,42.38
5,0,0,0,0,1,200,42.60
5,0,0,0,0,1,201,42.81
5,0,0,0,0,1,202,43.02
5,0,0,0,0,1,203,43.24
5,0,0,0,0,1,204,43.45
5,0,0,0,0,1,205,43.66
5,0,0,0,0,1,206,43.87
5,0,0,0,0,1,207,44.09
5,0,0,0,0,1,208,44.30
5,0,0,0,0,1,209,44.51
5,0,0,0,0,1,210,44.73
5,0,0,0,0,1,211,44.94
5,0,0,0,0,1,212,45.15
5,0,0,0,0,1,213,45.36
5,0,0,0,0,1,214,45.58
5,0,0,0,0,1,215,45.79
5,0,0,0,0,1,216,46.00
6,0,0,0,0,0,217,46.22
6,0,0,0,0,0,218,46.43
5,0,0,0,0,1,219,46.64
5,0,0,0,0,1,220,46.86
5,0,0,0,0,1,221,47.07
5,0,0,0,0,1,222,47.28
5,0,0,0,0,1,223,47.49
5,0,0,0,0,1,224,47.71
5,0,0,0,0,1,225,47.92
5,0,0,0,0,1,226,48.13
5,0,0,0,0,1,227,48.35
5,0,0,0,0,1,228,48.56
5,0,0,0,0,1,229,48.77
5,0,0,0,0,1,230,48.99
5,0,0,0,0,1,231,49.20
5,0,0,0,0,1,232,49.41
5,0,0,0,0,1,233,49.62
5,0,0,0,0,1,234,49.84
5,0,0,0,0,1,235,50.05
5,0,0,0,0,1,236,50.26
5,0,0,0,0,1,237,50.48
5,0,0,0,0,1,238,50.69
5,0,0,0,0,1,239,50.90
5,0,0,0,0,1,240,51.12
5,0,0,0,0,1,241,51.33
5,0,0,0,0,1,242,51.54
5,0,0,0,0,1,243,51.75
5,0,0,0,0,1,244,51.97
5,0,0,0,0,1,245,52.18
5,0,0,0,0,1,246,52.39
5,0,0,0,0,1,247,52.61
5,0,0,0,0,1,248,52.82
5,0,0,0,0,1,249,53.03
5,0,0,0,0,1,250,53.25
5,0,0,0,0,1,251,53.46
5,0,0,0,0,1,252,53.67
5,0,0,0,0,1,253,53.88
5,0,0,0,0,1,254,54.10
5,0,0,0,0,1,255,54.31
Pengujian Selesai.
